0 0 0 0
10 25 0 25
20 51 0 51
30 76 0 76
40 102 0 102
50 127 0 127
60 153 0 153
70 178 0 178
80 204 0 204
90 229 0 229
100 255 0 255
110 229 0 255
120 204 0 255
130 178 0 255
140 153 0 255
150 127 0 255
160 102 0 255
170 76 0 255
180 51 0 255
190 25 0 255
200 0 0 255
210 0 25 255
220 0 51 255
230 0 76 255
240 0 102 255
250 0 127 255
260 0 153 255
270 0 178 255
280 0 204 255
290 0 229 255
300 0 255 255
310 0 255 229
320 0 255 204
330 0 255 178
340 0 255 153
350 0 255 127
360 0 255 102
370 0 255 76
380 0 255 51
390 0 255 25
400 0 255 0
410 25 255 0
420 51 255 0
430 76 255 0
440 102 255 0
450 127 255 0
460 153 255 0
470 178 255 0
480 204 255 0
490 229 255 0
500 255 255 0
510 255 229 0
520 255 204 0
530 255 178 0
540 255 153 0
550 255 127 0
560 255 102 0
570 255 76 0
580 255 51 0
590 255 25 0
600 255 0 0
610 255 25 25
620 255 51 51
630 255 76 76
640 255 102 102
650 255 127 127
660 255 153 153
670 255 178 178
680 255 204 204
690 255 229 229
700 255 255 255
710 229 229 255
720 204 204 255
730 178 178 255
740 153 153 255
750 127 127 255
760 102 102 255
770 76 76 255
780 51 51 255
790 25 25 255
800 0 0 255
810 0 0 229
820 0 0 204
830 0 0 178
840 0 0 153
850 0 0 127
860 0 0 102
870 0 0 76
880 0 0 51
890 0 0 25
900 0 0 0
910 25 25 25
920 51 51 51
930 76 76 76
940 102 102 102
950 127 127 127
960 153 153 153
970 178 178 178
980 204 204 204
990 229 229 229
1000 255 255 255
